transcript	miRNAs	numberMiRNAs
AALF006898-RA.1	aae-miR-305-5p	1
AALF009771-RA.1	aae-miR-999-3p	1
AALF027816-RA.1	aae-miR-305-5p	1
AALF018139-RA.1	aae-miR-11900,aae-miR-124-3p	2
AALF025807-RA.1	aae-miR-11900,aae-miR-1175-3p	2
AALF026517-RA.1	aae-miR-11900	1
AALF011618-RA.1	aae-miR-4275-5p	1
AALF005122-RA.1	aae-miR-932-5p	1
AALF013217-RA.1	aae-miR-932-5p	1
AALF006140-RA.1	aae-miR-124-3p	1
AALF000600-RA.1	aae-miR-11900	1
AALF004362-RA.1	aae-miR-308-3p,aae-miR-11900	2
AALF012688-RA.1	aae-miR-2945-3p	1
AALF001772-RA.1	aae-miR-11900	1
AALF023425-RA.1	aae-miR-276-3p,aae-miR-4275-5p,aae-miR-210-5p,aae-bantam-5p,aae-miR-3722-5p	5
AALF013860-RA.1	aae-miR-1175-3p	1
AALF004260-RA.1	aae-miR-276-3p	1
AALF002097-RA.1	aae-miR-11900	1
AALF011774-RA.1	aae-miR-1000-5p,aae-miR-1175-3p	2
AALF020989-RA.1	aae-bantam-5p	1
AALF023323-RA.1	aae-miR-11900,aae-miR-1000-5p	2
AALF021930-RA.1	aae-miR-932-5p	1
AALF021468-RA.1	aae-let-7	1
AALF021853-RA.1	aae-miR-2945-3p	1
AALF024187-RA.1	aae-miR-124-3p	1
AALF020733-RA.1	aae-miR-308-3p	1
AALF020579-RA.1	aae-miR-305-5p	1
AALF000371-RA.1	aae-miR-11900	1
AALF022794-RA.1	aae-miR-276-3p,aae-miR-999-3p	2
AALF012074-RA.1	aae-bantam-3p	1
AALF010296-RA.1	aae-miR-932-5p	1
AALF023350-RA.1	aae-miR-1000-5p,aae-bantam-5p	2
AALF022692-RA.1	aae-miR-2945-3p	1
AALF005609-RA.1	aae-miR-4275-5p	1
AALF022282-RA.1	aae-bantam-3p	1
AALF006319-RA.1	aae-miR-276-3p,aae-miR-5119-5p,aae-miR-2945-3p	3
AALF009115-RA.1	aae-bantam-5p	1
AALF008303-RA.1	aae-miR-3722-5p	1
AALF017749-RA.1	aae-miR-124-3p	1
AALF015509-RA.1	aae-miR-11900	1
AALF006217-RA.1	aae-miR-10-5p	1
AALF009167-RA.1	aae-miR-3368-5p	1
AALF018536-RA.1	aae-miR-3722-5p	1
AALF005559-RA.1	aae-bantam-5p	1
AALF008894-RA.1	aae-bantam-5p	1
AALF007466-RA.1	aae-miR-11900,aae-miR-5108-5p	2
AALF003627-RA.1	aae-miR-11900	1
AALF015869-RA.1	aae-miR-11900,aae-miR-999-3p,aae-miR-1175-3p	3
AALF019400-RA.1	aae-miR-5119-5p	1
AALF006038-RA.1	aae-miR-10-5p	1
AALF018203-RA.1	aae-bantam-3p	1
AALF007595-RA.1	aae-miR-11900	1
AALF025948-RA.1	aae-miR-11900,aae-bantam-3p,aae-miR-5119-5p,aae-bantam-5p,aae-miR-34-5p	5
AALF015305-RA.1	aae-miR-5119-5p	1
AALF024828-RA.1	aae-miR-305-5p	1
AALF005432-RA.1	aae-miR-305-5p,aae-miR-210-5p	2
AALF026812-RA.1	aae-miR-305-5p	1
AALF016323-RA.1	aae-miR-11900	1
AALF027599-RA.1	aae-miR-305-5p	1
AALF016683-RA.1	aae-miR-5108-5p	1
AALF025205-RA.1	aae-miR-3368-5p	1
AALF024599-RA.1	aae-miR-999-3p	1
AALF024830-RA.1	aae-miR-276-3p,aae-miR-11900	2
AALF008919-RA.1	aae-miR-11900	1
AALF004093-RA.1	aae-miR-1175-3p	1
AALF011530-RA.1	aae-miR-4275-5p,aae-bantam-3p	2
AALF011376-RA.1	aae-miR-276-3p	1
AALF010077-RA.1	aae-miR-305-5p	1
AALF012061-RA.1	aae-miR-305-5p,aae-miR-11900	2
AALF020156-RA.1	aae-miR-1175-3p	1
AALF020387-RA.1	aae-miR-305-5p,aae-miR-2945-3p	2
AALF018948-RA.1	aae-miR-2945-3p	1
AALF001707-RA.1	aae-miR-305-5p,aae-miR-11900,aae-miR-1000-5p,aae-miR-1175-3p	4
AALF003537-RA.1	aae-miR-2945-3p	1
AALF016206-RA.1	aae-miR-5119-5p	1
AALF006564-RA.1	aae-miR-999-3p	1
AALF008086-RA.1	aae-miR-11900	1
AALF001734-RA.1	aae-miR-11900	1
AALF027226-RA.1	aae-miR-305-5p,aae-miR-4275-5p	2
AALF014557-RA.1	aae-miR-1000-5p	1
AALF017584-RA.1	aae-miR-932-5p	1
AALF004299-RA.1	aae-miR-34-5p	1
AALF004530-RA.1	aae-miR-1000-5p,aae-bantam-5p	2
AALF028167-RA.1	aae-miR-932-5p	1
AALF014147-RA.1	aae-miR-11900	1
AALF027432-RA.1	aae-bantam-3p,aae-miR-3368-5p,aae-miR-1175-3p	3
AALF013643-RA.1	aae-miR-34-5p	1
AALF003693-RA.1	aae-miR-276-3p,aae-miR-305-5p,aae-miR-10-5p,aae-miR-1000-5p,aae-miR-124-3p,aae-miR-5119-5p,aae-miR-2945-3p,aae-miR-5108-5p,aae-miR-932-5p	9
AALF001992-RA.1	aae-bantam-3p	1
AALF013464-RA.1	aae-let-7	1
AALF026595-RA.1	aae-bantam-3p,aae-bantam-5p	2
AALF025244-RA.1	aae-miR-11900	1
AALF025013-RA.1	aae-miR-305-5p	1
AALF015294-RA.1	aae-miR-308-3p,aae-miR-11900,aae-bantam-5p	3
AALF023235-RA.1	aae-miR-932-5p	1
AALF014174-RA.1	aae-miR-11900	1
AALF027074-RA.1	aae-miR-1175-3p	1
AALF026570-RA.1	aae-miR-932-5p	1
AALF022731-RA.1	aae-miR-305-5p	1
AALF025450-RA.1	aae-miR-1175-3p	1
AALF008727-RA.1	aae-miR-5119-5p	1
AALF007915-RA.1	aae-miR-932-5p	1
AALF009822-RA.1	aae-miR-5119-5p	1
AALF018729-RA.1	aae-miR-2945-3p	1
AALF009668-RA.1	aae-miR-276-3p	1
AALF017609-RA.1	aae-miR-11900	1
AALF017917-RA.1	aae-miR-11900,aae-miR-210-5p	2
AALF007967-RA.1	aae-miR-1175-3p	1
AALF018319-RA.1	aae-miR-999-3p	1
AALF009951-RA.1	aae-miR-276-3p,aae-miR-308-3p,aae-bantam-3p,aae-miR-124-3p	4
AALF008498-RA.1	aae-let-7	1
AALF017867-RA.1	aae-miR-305-5p,aae-miR-3722-5p	2
AALF002404-RA.1	aae-bantam-3p	1
AALF003037-RA.1	aae-miR-34-5p	1
AALF002841-RA.1	aae-miR-3722-5p	1
AALF004132-RA.1	aae-miR-308-3p,aae-miR-11900	2
AALF013501-RA.1	aae-bantam-5p	1
AALF015177-RA.1	aae-bantam-5p	1
AALF013476-RA.1	aae-miR-305-5p	1
AALF013784-RA.1	aae-bantam-5p	1
AALF021879-RA.1	aae-miR-3368-5p	1
AALF012048-RA.1	aae-miR-308-3p	1
AALF016041-RA.1	aae-miR-124-3p,aae-miR-1175-3p	2
AALF022820-RA.1	aae-miR-999-3p	1
AALF016093-RA.1	aae-miR-1000-5p	1
AALF023068-RA.1	aae-miR-3722-5p	1
AALF010168-RA.1	aae-miR-3722-5p	1
AALF012075-RA.1	aae-miR-999-3p	1
AALF011392-RA.1	aae-miR-3368-5p	1
AALF006834-RA.1	aae-miR-1000-5p	1
AALF018614-RA.1	aae-miR-11900	1
AALF003859-RA.1	aae-miR-1000-5p,aae-miR-2945-3p	2
AALF006886-RA.1	aae-miR-932-5p	1
AALF028539-RA.1	aae-miR-2945-3p	1
AALF005612-RA.1	aae-miR-124-3p,aae-miR-1175-3p	2
AALF008023-RA.1	aae-miR-11900	1
AALF007750-RA.1	aae-miR-305-5p,aae-miR-5108-5p,aae-miR-932-5p	3
AALF005741-RA.1	aae-miR-999-3p,aae-miR-276-5p	2
AALF004698-RA.1	aae-miR-1175-3p,aae-miR-3722-5p	2
AALF013836-RA.1	aae-miR-305-5p,aae-miR-4275-5p,aae-miR-308-3p,aae-miR-11900,aae-bantam-3p,aae-miR-1000-5p,aae-miR-124-3p,aae-miR-999-3p,aae-miR-932-5p	9
AALF016401-RA.1	aae-miR-276-3p,aae-miR-305-5p,aae-miR-11900,aae-miR-3368-5p,aae-miR-124-3p,aae-let-7,aae-miR-3722-5p,aae-miR-932-5p	8
AALF027523-RA.1	aae-miR-11900,aae-bantam-5p,aae-miR-999-3p	3
AALF016761-RA.1	aae-bantam-5p,aae-miR-3722-5p	2
AALF026532-RA.1	aae-miR-3368-5p	1
AALF024985-RA.1	aae-miR-5108-5p	1
AALF026661-RA.1	aae-miR-5119-5p	1
AALF000101-RA.1	aae-miR-124-3p,aae-miR-932-5p	2
AALF020438-RA.1	aae-miR-210-5p	1
AALF010796-RA.1	aae-miR-3722-5p	1
AALF011044-RA.1	aae-miR-11900	1
AALF010232-RA.1	aae-miR-11900	1
AALF001094-RA.1	aae-miR-1175-3p	1
AALF008947-RA.1	aae-miR-305-5p,aae-miR-308-3p	2
AALF020388-RA.1	aae-miR-305-5p	1
AALF011071-RA.1	aae-miR-308-3p,aae-bantam-5p	2
AALF010182-RA.1	aae-miR-11900	1
AALF009155-RA.1	aae-let-7	1
AALF004812-RA.1	aae-bantam-5p	1
AALF008189-RA.1	aae-miR-308-3p,aae-miR-11900	2
