#node	identifier	domain_summary_url	annotation	other_names_and_aliases
AAEL014367	7159.Q16GJ0	AAEL014367-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=2055:TRANS(231|253)+Pfam_SEA(330|432)+EGF(443|485)+LDLa(1468|1512)+LDLa(1514|1550)+LDLa(1552|1593)+LDLa(1594|1630)+LDLa(1631|1668)+Pfam_SRCR_2(1670|1761)+Tryp_SPc(1769|2019)+	5564265,AAEL014367,AAEL014367-PA,Q16GJ0,Q16GJ0_AEDAE,Uncharacterized protein LOC5564265 isoform X1,XM_001648562.1,XP_001648612.1,XP_021708091,aag:5564265
AAEL014507	7159.Q16G66	AAEL014507-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=633:PUG(23|84)+TGc(288|343)+PAW(473|571)+	3.5.1.52,5564537,AAEL014507,AAEL014507-PA,EC 3.5.1.52,Q16G66,Q16G66_AEDAE,XM_001648830.1,XP_001648880,XP_001648880.1,aag:5564537
AAEL014902	7159.Q16F45	Cation efflux protein/ zinc transporter.	https://smart.embl.de/smart/DDvec.cgi?smart=392:Pfam_Cation_efflux(11|261)+	5565621,AAEL014902,AAEL014902-PA,Cation efflux protein/ zinc transporter,Q16F45,Q16F45_AEDAE,XM_001649926.1,XP_001649976.1,XP_021697596,Zinc transporter 1,aag:5565621
AAEL015076	7159.Q16EP2	AAEL015076-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=399:PDZ(9|66)+Pfam_DUF4749(258|399)+	5566151,AAEL015076,AAEL015076-PA,PDZ and LIM domain protein 7 isoform X1,Q16EP2,Q16EP2_AEDAE,XM_001650468.1,XP_001650518.1,XP_021699214,aag:5566151
AAEL015297	7159.Q16EA9	DNA-directed RNA polymerase; DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Belongs to the phage and mitochondrial RNA polymerase family.	https://smart.embl.de/smart/DDvec.cgi?smart=767:RPOL_N(1|289)+Pfam_RNA_pol(416|758)+	2.7.7.6,AAEL015297,DNA-directed RNA polymerase,Q16EA9,Q16EA9_AEDAE,XM_001651433.1,XP_001651483.1
AAEL015521	7159.Q1DGR7	AAEL015521-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=81:Pfam_Pacs-1(1|73)+	AAEL015521,AAEL015521-PA,Q1DGR7,Q1DGR7_AEDAE,XM_001647628.1,XP_001647678.1
AAEL015603	7159.Q1DGJ8	Ceramide kinase.	https://smart.embl.de/smart/DDvec.cgi?smart=358:Pfam_DAGK_cat(7|57)+	AAEL015603,AAEL015603-PA,Ceramide kinase,Q1DGJ8,Q1DGJ8_AEDAE,XM_001647559.1,XP_001647609.1
AAEL015672	7159.Q1DGD9	AAEL015672-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=78:TRANS(12|31)+TRANS(41|59)+	AAEL015672,AAEL015672-PA,Q1DGD9,Q1DGD9_AEDAE,XM_001647500.1,XP_001647550.1
AAEL801114	7159.J9HTV7	AAEL017419-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=157:ZnF_C2HC(5|21)+ZnF_C2HC(49|65)+ZnF_C2HC(69|85)+ZnF_C2HC(91|107)+ZnF_C2HC(116|132)+ZnF_C2HC(136|152)+	23687839,AAEL017419-PA,AAEL801114,CCHC-type zinc finger protein CG3800,Cellular nucleic acid-binding protein,J9HTV7,J9HTV7_AEDAE,XM_011494908.1,XP_011493210,XP_011493210.1,aag:23687839
CYP315A1	7159.Q16NV1	AAEL011850-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=472:Pfam_p450(18|468)+	5575470,AAEL011850,AAEL011850-PA,CYP315A1,Cytochrome P450 315a1, mitochondrial,Ecdysteroid 2-hydroxylase,Q16NV1,Q16NV1_AEDAE,XM_001661937.2,XP_001661987,XP_001661987.2,aag:5575470
GPRFZ1	7159.Q16JZ7	GPCR Frizzled/Smoothened Family; Belongs to the G-protein coupled receptor Fz/Smo family.	https://smart.embl.de/smart/DDvec.cgi?smart=374:FRI(14|129)+Frizzled(205|374)+	5577310,AAEL013160,AAEL013160-PA,Frizzled,Frizzled 1/7,GPCR Frizzled/Smoothened Family,GPRFZ1,Q16JZ7,Q16JZ7_AEDAE,XM_001663293.2,XP_001663343.2,XP_021711284,aag:5577310
GPRFZ7	7159.Q16U83	AAEL009983-PA; Belongs to the G-protein coupled receptor Fz/Smo family.	https://smart.embl.de/smart/DDvec.cgi?smart=210:Frizzled(1|203)+	AAEL009983,AAEL009983-PA,GPRFZ7,Q16U83,Q16U83_AEDAE,XM_001660487.2,XP_001660537.2
GPRGHP4	7159.J9HTN1	GPCR Growth Hormone Releasing Hormone Family; Belongs to the G-protein coupled receptor 1 family.	https://smart.embl.de/smart/DDvec.cgi?smart=301:Pfam_7TM_GPCR_Srsx(18|301)+	AAEL017048-PA,AaeL_AAEL017048,GPCR Growth Hormone Releasing Hormone Family,GPRGHP4,J9HTN1,J9HTN1_AEDAE,XM_011495381.1,XP_011493683.1
J9HZD6_AEDAE	7159.J9HZD6	Phosphoinositide phospholipase C.	https://smart.embl.de/smart/DDvec.cgi?smart=536:Pfam_EF-hand_like(187|282)+PLCXc(289|437)+	3.1.4.11,AaeL_AAEL017393,J9HZD6,J9HZD6_AEDAE,Phosphoinositide phospholipase C,XM_011495225.1,XP_011493527.1
J9HZV2_AEDAE	7159.J9HZV2	AAEL017168-PA.	https://smart.embl.de/smart/DDvec.cgi?smart=231:RRM(134|205)+	AAEL017168-PA,AaeL_AAEL017168,J9HZV2,J9HZV2_AEDAE,XM_011495398.1,XP_011493700.1
fru	7159.Q176R3	FRU non-sex-specific P1 isoform.	https://smart.embl.de/smart/DDvec.cgi?smart=552:BTB(30|125)+ZnF_C2H2(507|530)+	AAEL006301,AAEL006301-PA,FRU non-sex-specific P1 isoform,Fruitless,Q176R3,Q176R3_AEDAE,XM_001657575.1,XP_001657625.1,fru
retm	7159.Q16KN5	Protein real-time.	https://smart.embl.de/smart/DDvec.cgi?smart=646:Pfam_PRELI(17|173)+CRAL_TRIO_N(251|276)+SEC14(294|468)+	5577013,AAEL012929,Protein real-time,Protein real-time isoform X1,Q16KN5,RETM_AEDAE,XM_001663066.1,XP_001663116.1,XP_021702622,aag:5577013,retm
