"Gene ID","source_id","Organism","Gene Name or Symbol","Transcript Product Description","UniProt ID(s)"
"AAEL011411","AAEL011411-RA","Aedes aegypti LVP_AGWG","N/A","sugar transporter","A0A1S4FT34,Q16Q39"
"AAEL011412","AAEL011412-RA","Aedes aegypti LVP_AGWG","N/A","PH domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4FTH6]","A0A1S4FTH6"
"AAEL011412","AAEL011412-RB","Aedes aegypti LVP_AGWG","N/A","PH domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4FTH6]","A0A1S4FTH6"
"AAEL011412","AAEL011412-RC","Aedes aegypti LVP_AGWG","N/A","PH domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4FTH6]","A0A1S4FTH6,Q0IEB4"
"AAEL011412","AAEL011412-RD","Aedes aegypti LVP_AGWG","N/A","PH domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4FTH6]","A0A1S4FTH6"
"AAEL011412","AAEL011412-RE","Aedes aegypti LVP_AGWG","N/A","PH domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4FTH6]","A0A1S4FTH6"
"AAEL011413","AAEL011413-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FTL6,Q0IEB3"
"AAEL011414","AAEL011414-RE","Aedes aegypti LVP_AGWG","N/A","high mobility group non-histone protein, putative","Q17IC2,Q1HR93"
"AAEL011414","AAEL011414-RF","Aedes aegypti LVP_AGWG","N/A","high mobility group non-histone protein, putative","Q1HR93"
"AAEL011415","AAEL011415-RA","Aedes aegypti LVP_AGWG","N/A","lysine-specific histone demethylase","Q0IEC7"
"AAEL011415","AAEL011415-RB","Aedes aegypti LVP_AGWG","N/A","lysine-specific histone demethylase","Q0IEC7"
"AAEL011416","AAEL011416-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FT56,Q0IEB6"
"AAEL011419","AAEL011419-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FTI6,Q0IEB7"
"AAEL011421","AAEL011421-RA","Aedes aegypti LVP_AGWG","N/A","multiple inositol polyphosphate phosphatase","A0A1S4FT61,Q0IEB0"
"AAEL011422","AAEL011422-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FTA7,Q0IEB5"
"AAEL011423","AAEL011423-RB","Aedes aegypti LVP_AGWG","N/A","sugar transporter","A0A1S4FT49,Q0IEA9"
"AAEL011424","AAEL011424-RA","Aedes aegypti LVP_AGWG","N/A","Histone H3 [Source:UniProtKB/TrEMBL;Acc:A0A1S4FTJ0]","A0A1S4FTJ0"
"AAEL011425","AAEL011425-RA","Aedes aegypti LVP_AGWG","N/A","structure-specific recognition protein","Q0IEB2"
"AAEL011427","AAEL011427-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q0IEC6"
"AAEL011428","AAEL011428-RA","Aedes aegypti LVP_AGWG","N/A","fast myosin heavy chain HCIII, putative","Q0IEB8"
"AAEL011429","AAEL011429-RA","Aedes aegypti LVP_AGWG","N/A","clathrin coat adaptor ap3 medium chain","A0A1S4FTJ5,Q0IEC0"
"AAEL011433","AAEL011433-RA","Aedes aegypti LVP_AGWG","N/A","small nuclear ribonucleoprotein sm d3","Q16KQ1,Q16Q31"
"AAEL011435","AAEL011435-RB","Aedes aegypti LVP_AGWG","N/A","radical sam proteins","Q16Q27"
"AAEL011436","AAEL011436-RA","Aedes aegypti LVP_AGWG","N/A","myosin xv","A0A1S4FTK0"
"AAEL011436","AAEL011436-RB","Aedes aegypti LVP_AGWG","N/A","myosin xv","A0A1S4FTK0,Q16Q30"
"AAEL011436","AAEL011436-RC","Aedes aegypti LVP_AGWG","N/A","myosin xv","A0A1S4FTK0"
"AAEL011439","AAEL011439-RB","Aedes aegypti LVP_AGWG","N/A","paramyosin, putative","A0A1S4FTC2,Q16Q32"
"AAEL011440","AAEL011440-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FT64,Q16Q34"
"AAEL011441","AAEL011441-RA","Aedes aegypti LVP_AGWG","N/A","calcium/calmodulin-dependent protein kinase type 1 (camki)","A0A1S4FTK5"
"AAEL011441","AAEL011441-RB","Aedes aegypti LVP_AGWG","N/A","calcium/calmodulin-dependent protein kinase type 1 (camki)","A0A1S4FTK5,Q16Q29"
"AAEL011441","AAEL011441-RC","Aedes aegypti LVP_AGWG","N/A","calcium/calmodulin-dependent protein kinase type 1 (camki)","A0A1S4FTK5"
"AAEL011441","AAEL011441-RD","Aedes aegypti LVP_AGWG","N/A","calcium/calmodulin-dependent protein kinase type 1 (camki)","N/A"
"AAEL011442","AAEL011442-RA","Aedes aegypti LVP_AGWG","N/A","translation initiation factor eif-2b gamma subunit","A0A1S4FTP5,Q16Q28"
"AAEL011444","AAEL011444-RA","Aedes aegypti LVP_AGWG","N/A","pupal cuticle protein, putative","Q16KU4,Q16Q11"
"AAEL011447","AAEL011447-RB","Aedes aegypti LVP_AGWG","RpL14","60S ribosomal protein L14 [Source:UniProtKB/TrEMBL;Acc:Q1HRP1]","Q16Q18,Q1HRP1"
"AAEL011448","AAEL011448-RA","Aedes aegypti LVP_AGWG","N/A","CRAL-TRIO domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4FT89]","A0A1S4FT89,Q16Q20"
"AAEL011449","AAEL011449-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16Q25"
"AAEL011452","AAEL011452-RA","Aedes aegypti LVP_AGWG","N/A","CRAL-TRIO domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4FTQ5]","A0A1S4FTQ5,Q16Q21"
"AAEL011453","AAEL011453-RA","Aedes aegypti LVP_AGWG","CTL14","C-Type Lectin (CTL14)","A0A1S4FT94,Q16Q05"
"AAEL011454","AAEL011454-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16Q22"
"AAEL011455","AAEL011455-RA","Aedes aegypti LVP_AGWG","CTLMA12","C-Type Lectin (CTLMA12) - mannose binding","A0A1S4FT83,Q16Q06,Q1HRC9"
"AAEL011458","AAEL011458-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16KD8,Q16Q09"
"AAEL011459","AAEL011459-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL011459","AAEL011459-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16Q13"
"AAEL011459","AAEL011459-RD","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16Q13,Q179V5"
"AAEL011460","AAEL011460-RA","Aedes aegypti LVP_AGWG","N/A","CRAL-TRIO domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4FTM4]","A0A1S4FTM4,Q16Q19"
"AAEL011462","AAEL011462-RA","Aedes aegypti LVP_AGWG","N/A","Transcription initiation factor IIE subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1S4FTA4]","A0A1S4FTA4,Q16Q16"
"AAEL011463","AAEL011463-RB","Aedes aegypti LVP_AGWG","N/A","cytochrome P450","A0A1S4FTE7,Q16Q15,Q1DGF4,Q563C6,Q563C7"
"AAEL011465","AAEL011465-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FTM9"
"AAEL011465","AAEL011465-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16Q02"
"AAEL011465","AAEL011465-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16MS9"
"AAEL011466","AAEL011466-RA","Aedes aegypti LVP_AGWG","N/A","Biogenesis of lysosome-related organelles complex 1 subunit 6 [Source:UniProtKB/TrEMBL;Acc:A0A1S4FTR9]","A0A1S4FTR9,Q16MT0,Q16Q01"
"AAEL011468","AAEL011468-RA","Aedes aegypti LVP_AGWG","N/A","protein kinase C inhibitor, putative","Q16Q00,Q1HRC0"
"AAEL011469","AAEL011469-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A0P6J4F9"
"AAEL011469","AAEL011469-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16PZ2"
"AAEL011469","AAEL011469-RD","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16PZ1"
"AAEL011469","AAEL011469-RE","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL011469","AAEL011469-RF","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL011469","AAEL011469-RG","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL011470","AAEL011470-RA","Aedes aegypti LVP_AGWG","N/A","cis,cis-muconate transport protein MucK, putative","Q16PZ8"
"AAEL011470","AAEL011470-RB","Aedes aegypti LVP_AGWG","N/A","cis,cis-muconate transport protein MucK, putative","Q16PZ8"
"AAEL011471","AAEL011471-RE","Aedes aegypti LVP_AGWG","RpL17","60S ribosomal protein L17 [Source:UniProtKB/Swiss-Prot;Acc:Q1HR65]","Q1HR65"
"AAEL011471","AAEL011471-RF","Aedes aegypti LVP_AGWG","RpL17","60S ribosomal protein L17 [Source:UniProtKB/Swiss-Prot;Acc:Q1HR65]","Q1HR65"
"AAEL011471","AAEL011471-RG","Aedes aegypti LVP_AGWG","RpL17","60S ribosomal protein L17 [Source:UniProtKB/Swiss-Prot;Acc:Q1HR65]","Q1HR65"
"AAEL011472","AAEL011472-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16PZ6"
"AAEL011473","AAEL011473-RB","Aedes aegypti LVP_AGWG","N/A","chromatin regulatory protein sir2","A0A1S4FTB4,Q16PZ4"
"AAEL011475","AAEL011475-RB","Aedes aegypti LVP_AGWG","GPRGNR2","GPCR Gonadotrophin Releasing Hormone Family","A0A1S4FTA3,A0A2P1A8T2"
"AAEL011475","AAEL011475-RC","Aedes aegypti LVP_AGWG","GPRGNR2","GPCR Gonadotrophin Releasing Hormone Family","A0A411JKC0,Q16PY8"
"AAEL011476","AAEL011476-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q1HQH1"
"AAEL011478","AAEL011478-RC","Aedes aegypti LVP_AGWG","N/A","cytoplasmic dynein light chain","Q16PZ7"
"AAEL011478","AAEL011478-RD","Aedes aegypti LVP_AGWG","N/A","cytoplasmic dynein light chain","N/A"
"AAEL011478","AAEL011478-RE","Aedes aegypti LVP_AGWG","N/A","cytoplasmic dynein light chain","Q16PZ7"
"AAEL011480","AAEL011480-RA","Aedes aegypti LVP_AGWG","N/A","tpr repeat nuclear phosphoprotein","Q16PY9"
"AAEL011481","AAEL011481-RA","Aedes aegypti LVP_AGWG","OBP54","Odorant binding protein OBP43 [Source:UniProtKB/TrEMBL;Acc:A0A1S4FTT5]","A0A1S4FTT5,Q16PX1"
"AAEL011483","AAEL011483-RA","Aedes aegypti LVP_AGWG","N/A","odorant-binding protein 50c, putative","A0A1S4FTG8,Q16PY0"
"AAEL011486","AAEL011486-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FTU0,Q16PY1"
"AAEL011487","AAEL011487-RB","Aedes aegypti LVP_AGWG","OBP51","odorant binding protein OBP51","Q16PX5"
"AAEL011488","AAEL011488-RB","Aedes aegypti LVP_AGWG","N/A","short-chain dehydrogenase","Q16PY7"
"AAEL011491","AAEL011491-RB","Aedes aegypti LVP_AGWG","OBP52","odorant binding protein OBP52","A0A1S4FTU5,Q16PX3"
"AAEL011492","AAEL011492-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16PY3"
"AAEL011494","AAEL011494-RA","Aedes aegypti LVP_AGWG","OBP48","odorant binding protein OBP48","A0A1S4FTC4,Q16PY2"
"AAEL011496","AAEL011496-RB","Aedes aegypti LVP_AGWG","N/A","chitinase","Q16PY6,Q179B3"
"AAEL011497","AAEL011497-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FTE0,Q16PX6"
"AAEL011499","AAEL011499-RA","Aedes aegypti LVP_AGWG","OBP47","odorant binding protein OBP47","A0A1S4FTC9,Q16PY4"
"AAEL011500","AAEL011500-RD","Aedes aegypti LVP_AGWG","N/A","Cdc42 protein, putative","Q16PW1"
"AAEL011500","AAEL011500-RE","Aedes aegypti LVP_AGWG","N/A","Cdc42 protein, putative","Q16PW1"
"AAEL011500","AAEL011500-RF","Aedes aegypti LVP_AGWG","N/A","Cdc42 protein, putative","N/A"
"AAEL011501","AAEL011501-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FTI8,Q16PW7"
"AAEL011502","AAEL011502-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16PW5"
"AAEL011502","AAEL011502-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16PW5"
"AAEL011504","AAEL011504-RA","Aedes aegypti LVP_AGWG","N/A","pupal cuticle protein, putative","Q16PW8"
"AAEL011505","AAEL011505-RB","Aedes aegypti LVP_AGWG","N/A","integral membrane pore glycoprotein gp210, putative","A0A1S4FTF0,Q16PW3"
"AAEL011506","AAEL011506-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16PW6"
"AAEL011506","AAEL011506-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL011510","AAEL011510-RB","Aedes aegypti LVP_AGWG","N/A","multiple inositol polyphosphate phosphatase","Q16PV9"
"AAEL011510","AAEL011510-RC","Aedes aegypti LVP_AGWG","N/A","multiple inositol polyphosphate phosphatase","Q16PV9"
"AAEL011510","AAEL011510-RD","Aedes aegypti LVP_AGWG","N/A","multiple inositol polyphosphate phosphatase","Q16PV9"
"AAEL011510","AAEL011510-RE","Aedes aegypti LVP_AGWG","N/A","multiple inositol polyphosphate phosphatase","A0A1S4FTF5,Q16PV9"
"AAEL011510","AAEL011510-RF","Aedes aegypti LVP_AGWG","N/A","multiple inositol polyphosphate phosphatase","Q16PV9"
"AAEL011513","AAEL011513-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FTS9,Q16PV8"
"AAEL011519","AAEL011519-RA","Aedes aegypti LVP_AGWG","N/A","sucrose transport protein","A0A1S4FTX6,Q16PU7"
"AAEL011520","AAEL011520-RA","Aedes aegypti LVP_AGWG","N/A","sucrose transport protein","A0A1S4FTG5"
"AAEL011520","AAEL011520-RB","Aedes aegypti LVP_AGWG","N/A","sucrose transport protein","N/A"
"AAEL011520","AAEL011520-RC","Aedes aegypti LVP_AGWG","N/A","sucrose transport protein","A0A1S4FTG5,Q16PU8"
"AAEL011521","AAEL011521-RB","Aedes aegypti LVP_AGWG","GPRMTH6","GPCR Methuselah Family","Q16PU2"
"AAEL011522","AAEL011522-RA","Aedes aegypti LVP_AGWG","N/A","MRAS2, putative","Q16PU6"
"AAEL011522","AAEL011522-RB","Aedes aegypti LVP_AGWG","N/A","MRAS2, putative","Q16PU6"
"AAEL011522","AAEL011522-RC","Aedes aegypti LVP_AGWG","N/A","MRAS2, putative","Q16PU6"
"AAEL011522","AAEL011522-RD","Aedes aegypti LVP_AGWG","N/A","MRAS2, putative","Q16PU6"
"AAEL011522","AAEL011522-RE","Aedes aegypti LVP_AGWG","N/A","MRAS2, putative","Q16PU6"
"AAEL011527","AAEL011527-RA","Aedes aegypti LVP_AGWG","N/A","eukaryotic translation initiation factor","Q16PT4"
"AAEL011527","AAEL011527-RB","Aedes aegypti LVP_AGWG","N/A","eukaryotic translation initiation factor","N/A"
"AAEL011528","AAEL011528-RA","Aedes aegypti LVP_AGWG","N/A","triacylglycerol lipase, putative","A0A1S4F271,Q16PT1,Q17HT1"
"AAEL011532","AAEL011532-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16PS9,Q16XW8"
"AAEL011536","AAEL011536-RA","Aedes aegypti LVP_AGWG","N/A","phosphoglucomutase","Q16PT5,Q58I85"
"AAEL011537","AAEL011537-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FTH0,Q16PT3"
"AAEL011538","AAEL011538-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16EG3,Q16PT7"
"AAEL011540","AAEL011540-RA","Aedes aegypti LVP_AGWG","N/A","metalloproteinase, putative","Q16PS0"
"AAEL011541","AAEL011541-RA","Aedes aegypti LVP_AGWG","N/A","Ubiquitin protein ligase [Source:UniProtKB/TrEMBL;Acc:A0A1S4FTM8]","A0A0P6IYF2,A0A1S4FTM8,Q16J44,Q16PR2"
"AAEL011543","AAEL011543-RA","Aedes aegypti LVP_AGWG","N/A","metalloproteinase, putative","Q16PR5,Q16PR6"
"AAEL011547","AAEL011547-RA","Aedes aegypti LVP_AGWG","N/A","metalloproteinase, putative","Q16PS3"
"AAEL011548","AAEL011548-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FU08,Q16PQ4"
"AAEL011550","AAEL011550-RB","Aedes aegypti LVP_AGWG","N/A","metalloproteinase, putative","Q16G58"
"AAEL011551","AAEL011551-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FTI5,Q16PR4"
"AAEL011553","AAEL011553-RA","Aedes aegypti LVP_AGWG","N/A","trypsin","Q16PR8"
"AAEL011554","AAEL011554-RA","Aedes aegypti LVP_AGWG","N/A","Adhesion regulating molecule 1 (110 kda cell membrane glycoprotein) [Source:UniProtKB/TrEMBL;Acc:A0A1S4FTJ1]","Q16PR0"
"AAEL011554","AAEL011554-RB","Aedes aegypti LVP_AGWG","N/A","Adhesion regulating molecule 1 (110 kda cell membrane glycoprotein) [Source:UniProtKB/TrEMBL;Acc:A0A1S4FTJ1]","A0A0P6IVK8,A0A0P6JST3,A0A1S4FTJ1"
"AAEL011554","AAEL011554-RC","Aedes aegypti LVP_AGWG","N/A","Adhesion regulating molecule 1 (110 kda cell membrane glycoprotein) [Source:UniProtKB/TrEMBL;Acc:A0A1S4FTJ1]","A0A1S4FTX4,Q16J41"
"AAEL011555","AAEL011555-RA","Aedes aegypti LVP_AGWG","N/A","metalloproteinase, putative","A0A1S4FU18,Q16PS1"
"AAEL011555","AAEL011555-RB","Aedes aegypti LVP_AGWG","N/A","metalloproteinase, putative","N/A"
"AAEL011556","AAEL011556-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FTK4,Q16J38,Q16PQ7"
"AAEL011557","AAEL011557-RA","Aedes aegypti LVP_AGWG","N/A","metalloproteinase, putative","A0A1S4FTP8,Q16PR7"
"AAEL011559","AAEL011559-RA","Aedes aegypti LVP_AGWG","N/A","metalloproteinase, putative","A0A1S4FTY0"
"AAEL011559","AAEL011559-RB","Aedes aegypti LVP_AGWG","N/A","metalloproteinase, putative","Q16PR9"
"AAEL011560","AAEL011560-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FU23"
"AAEL011560","AAEL011560-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FU23,Q16J40,Q16PQ9"
"AAEL011561","AAEL011561-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16PQ6"
"AAEL011562","AAEL011562-RA","Aedes aegypti LVP_AGWG","Dronc","caspase (long)","A0A1S4FTQ4,Q16PQ5"
"AAEL011563","AAEL011563-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4G7S4,Q16PP5"
"AAEL011563","AAEL011563-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16PP6"
"AAEL011564","AAEL011564-RB","Aedes aegypti LVP_AGWG","N/A","choline-phosphate cytidylyltransferase a, b","A0A1S4FU28,J9EB30,Q16PN8"
"AAEL011564","AAEL011564-RC","Aedes aegypti LVP_AGWG","N/A","choline-phosphate cytidylyltransferase a, b","Q7YZF4"
"AAEL011564","AAEL011564-RD","Aedes aegypti LVP_AGWG","N/A","choline-phosphate cytidylyltransferase a, b","N/A"
"AAEL011566","AAEL011566-RB","Aedes aegypti LVP_AGWG","N/A","cell adhesion molecule","Q16PP3"
"AAEL011567","AAEL011567-RA","Aedes aegypti LVP_AGWG","N/A","protein phosphatase 2c","Q16PP2"
"AAEL011567","AAEL011567-RB","Aedes aegypti LVP_AGWG","N/A","protein phosphatase 2c","Q16PP2"
"AAEL011567","AAEL011567-RC","Aedes aegypti LVP_AGWG","N/A","protein phosphatase 2c","Q16PP2"
"AAEL011567","AAEL011567-RD","Aedes aegypti LVP_AGWG","N/A","protein phosphatase 2c","Q16PP2"
"AAEL011568","AAEL011568-RA","Aedes aegypti LVP_AGWG","srp54","unspecified product","Q16PP1"
"AAEL011570","AAEL011570-RA","Aedes aegypti LVP_AGWG","N/A","acidic fibroblast growth factor intracellular binding protein","A0A1S4FU33,Q16PP4"
"AAEL011571","AAEL011571-RA","Aedes aegypti LVP_AGWG","Gr14","gustatory receptor Gr14","A0A1S4FTM2,Q16PQ2"
"AAEL011575","AAEL011575-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FU38,Q16PP0"
"AAEL011578","AAEL011578-RA","Aedes aegypti LVP_AGWG","N/A","serine/threonine protein kinase","Q16PN5"
"AAEL011579","AAEL011579-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FTL7,Q16PN2"
"AAEL011580","AAEL011580-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FU02,Q16PN6"
"AAEL011582","AAEL011582-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FTN2,Q16PN1"
"AAEL011583","AAEL011583-RA","Aedes aegypti LVP_AGWG","Or11","odorant receptor","A0A1S4FTS1,Q16PN4,Q16U85"
"AAEL011584","AAEL011584-RA","Aedes aegypti LVP_AGWG","N/A","chaperonin-60kD, ch60","Q16PM9"
"AAEL011585","AAEL011585-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16PN3"
"AAEL011586","AAEL011586-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16PN7"
"AAEL011587","AAEL011587-RC","Aedes aegypti LVP_AGWG","RpL27","60S ribosomal protein L27, putative","Q16FB1,Q16PM4"
"AAEL011588","AAEL011588-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FTM6,Q16PM2"
"AAEL011591","AAEL011591-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FTP3,Q16PM1"
"AAEL011592","AAEL011592-RB","Aedes aegypti LVP_AGWG","N/A","secreted mucin MUC17, putative","N/A"
"AAEL011592","AAEL011592-RC","Aedes aegypti LVP_AGWG","N/A","secreted mucin MUC17, putative","Q16JB6,Q16PM3"
"AAEL011592","AAEL011592-RD","Aedes aegypti LVP_AGWG","N/A","secreted mucin MUC17, putative","N/A"
"AAEL011593","AAEL011593-RA","Aedes aegypti LVP_AGWG","CLIPC11","Clip-Domain Serine Protease family C.","A0A1S4FTN1,Q16PM8"
"AAEL011594","AAEL011594-RB","Aedes aegypti LVP_AGWG","N/A","serine/threonine protein kinase","A0A0N8ES94,A0A1S4FU17,Q16PL4"
"AAEL011597","AAEL011597-RD","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16PL3"
"AAEL011597","AAEL011597-RE","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16PL3"
"AAEL011597","AAEL011597-RF","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16PL3"
"AAEL011597","AAEL011597-RG","Aedes aegypti LVP_AGWG","N/A","unspecified product","Q16PL3"
"AAEL011598","AAEL011598-RA","Aedes aegypti LVP_AGWG","N/A","Gustatory receptor [Source:UniProtKB/TrEMBL;Acc:A0A1S4FU22]","A0A1S4FU22"
"AAEL011599","AAEL011599-RA","Aedes aegypti LVP_AGWG","N/A","ADP-ribosylation factor, putative [Source:UniProtKB/TrEMBL;Acc:A0A1S4FU64]","A0A1S4FU64,Q16PL7"
"AAEL011602","AAEL011602-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FTQ3,Q16PL5"
"AAEL011603","AAEL011603-RA","Aedes aegypti LVP_AGWG","N/A","DNA topoisomerase [Source:UniProtKB/TrEMBL;Acc:Q16PL8]","Q16PL8"
"AAEL011606","AAEL011606-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FTP1"
"AAEL011606","AAEL011606-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FU27,Q16PJ7,Q16PJ8"
"AAEL011606","AAEL011606-RC","Aedes aegypti LVP_AGWG","N/A","unspecified product","N/A"
"AAEL011612","AAEL011612-RC","Aedes aegypti LVP_AGWG","CTLMA6","C-Type Lectin (CTL) - mannose binding. Transcript A","N/A"
"AAEL011612","AAEL011612-RD","Aedes aegypti LVP_AGWG","CTLMA6","C-Type Lectin (CTL) - mannose binding. Transcript A","J9HJ94,J9HTH4"
"AAEL011612","AAEL011612-RE","Aedes aegypti LVP_AGWG","CTLMA6","C-Type Lectin (CTL) - mannose binding. Transcript A","N/A"
"AAEL011612","AAEL011612-RF","Aedes aegypti LVP_AGWG","CTLMA6","C-Type Lectin (CTL) - mannose binding. Transcript A","N/A"
"AAEL011612","AAEL011612-RG","Aedes aegypti LVP_AGWG","CTLMA6","C-Type Lectin (CTL) - mannose binding. Transcript A","N/A"
"AAEL011612","AAEL011612-RH","Aedes aegypti LVP_AGWG","CTLMA6","C-Type Lectin (CTL) - mannose binding. Transcript A","N/A"
"AAEL011612","AAEL011612-RI","Aedes aegypti LVP_AGWG","CTLMA6","C-Type Lectin (CTL) - mannose binding. Transcript A","N/A"
"AAEL011612","AAEL011612-RJ","Aedes aegypti LVP_AGWG","CTLMA6","C-Type Lectin (CTL) - mannose binding. Transcript A","N/A"
"AAEL011612","AAEL011612-RK","Aedes aegypti LVP_AGWG","CTLMA6","C-Type Lectin (CTL) - mannose binding. Transcript A","N/A"
"AAEL011612","AAEL011612-RL","Aedes aegypti LVP_AGWG","CTLMA6","C-Type Lectin (CTL) - mannose binding. Transcript A","N/A"
"AAEL011621","AAEL011621-RA","Aedes aegypti LVP_AGWG","CTLMA13","C-Type Lectin (CTL) - mannose binding.","A0A1S4FTR7,Q16PK8"
"AAEL011622","AAEL011622-RA","Aedes aegypti LVP_AGWG","N/A","serine protease, putative","A0A1S4FTV7,Q16PK6"
"AAEL011624","AAEL011624-RA","Aedes aegypti LVP_AGWG","N/A","granzyme A precursor, putative","A0A1S4FU45,Q16PJ1"
"AAEL011624","AAEL011624-RB","Aedes aegypti LVP_AGWG","N/A","granzyme A precursor, putative","A0A0P6IV39,A0A1S4FU89,Q16PJ0"
"AAEL011626","AAEL011626-RA","Aedes aegypti LVP_AGWG","N/A","DNA cross-link repair protein pso2/snm1","A0A1S4FTW3"
"AAEL011626","AAEL011626-RB","Aedes aegypti LVP_AGWG","N/A","DNA cross-link repair protein pso2/snm1","Q16PI6"
"AAEL011627","AAEL011627-RA","Aedes aegypti LVP_AGWG","N/A","ribose-5-phosphate isomerase","Q16PI0"
"AAEL011629","AAEL011629-RB","Aedes aegypti LVP_AGWG","N/A","tyrosyl-DNA phosphodiesterase","N/A"
"AAEL011629","AAEL011629-RC","Aedes aegypti LVP_AGWG","N/A","tyrosyl-DNA phosphodiesterase","Q16EJ4,Q16PH5"
"AAEL011630","AAEL011630-RA","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A1S4FTS7,Q16PH8"
"AAEL011631","AAEL011631-RB","Aedes aegypti LVP_AGWG","N/A","unspecified product","A0A0P6IWY8,A0A0P6IXP0,A0A0P6J5Q9,A0A1S4G6I5,Q16E90,Q16EH3,Q16HZ1,Q16I07,Q16M41,Q16V86,Q16Y87,Q170N8,Q171Q4,Q172J9,Q175H2,Q175M6,Q17AM4,Q17B48,Q17B49,Q17CZ7,Q17DA6,Q17M66"
"AAEL011632","AAEL011632-RA","Aedes aegypti LVP_AGWG","N/A","fk506 binding protein","A0A1S4FTS0,Q16PH6"
